ip;int;mac;exp;vrf;tag_inner;tag_outer;tag_vlanid
10.1.25.211;ae31.708;e4:27:71:10:45:dd;949;IPTV;;;
10.1.25.215;ae31.708;1c:bb:a8:19:9c:e3;930;IPTV;;;
10.1.25.216;ae31.708;1c:bb:a8:24:59:a9;891;IPTV;;;
10.1.25.217;ae31.708;1c:bb:a8:1a:39:fa;906;IPTV;;;
10.1.25.218;ae31.708;bc:64:4b:75:09:b8;329;IPTV;;;
10.1.25.220;ae31.708;e4:27:71:40:b8:db;865;IPTV;;;
10.1.25.223;ae31.708;00:02:9b:9f:a3:b9;875;IPTV;;;
10.1.25.226;ae31.708;e4:27:71:17:60:15;1374;IPTV;;;
10.1.25.227;ae31.708;1c:bb:a8:28:17:ac;708;IPTV;;;
10.1.25.229;ae31.708;1c:bb:a8:23:bd:44;1126;IPTV;;;
10.1.25.230;ae31.708;1c:bb:a8:1a:19:27;1204;IPTV;;;
10.1.25.231;ae31.708;e4:27:71:55:f5:0b;288;IPTV;;;
10.1.25.232;ae31.708;e4:27:71:03:50:47;1116;IPTV;;;
10.1.25.234;ae31.708;e4:27:71:29:68:37;861;IPTV;;;
10.1.25.235;ae31.708;ec:4c:4d:f5:00:b3;137;IPTV;;;
10.1.25.237;ae31.708;00:1a:79:0f:86:76;434;IPTV;;;
10.1.25.239;ae31.708;e4:27:71:26:ed:6d;262;IPTV;;;
10.1.25.241;ae31.708;e4:27:71:18:6c:ca;635;IPTV;;;
10.1.25.242;ae31.708;ec:4c:4d:73:f6:4a;1202;IPTV;;;
10.1.25.243;ae31.708;e4:27:71:1e:e8:64;646;IPTV;;;
10.1.25.244;ae31.708;e4:27:71:02:29:54;918;IPTV;;;
10.1.25.248;ae31.708;e4:27:71:60:e1:11;531;IPTV;;;
10.1.25.250;ae31.708;e4:27:71:25:05:ed;972;IPTV;;;
10.1.25.251;ae31.708;00:1a:79:05:31:aa;1071;IPTV;;;
10.1.25.253;ae31.708;d8:af:81:04:cc:c7;211;IPTV;;;
10.1.26.0;ae31.708;e4:27:71:25:80:2f;807;IPTV;;;
10.1.26.13;ae31.708;e4:27:71:48:04:da;1136;IPTV;;;
10.1.26.15;ae31.708;e4:27:71:51:53:a7;817;IPTV;;;
10.1.26.18;ae31.708;e4:27:71:1f:40:dc;142;IPTV;;;
10.1.26.19;ae31.708;ec:4c:4d:74:34:6c;47;IPTV;;;
10.1.26.20;ae31.708;d8:af:81:03:82:2f;905;IPTV;;;
10.1.26.21;ae31.708;e4:27:71:29:67:64;840;IPTV;;;
10.1.26.23;ae31.708;e4:27:71:67:b9:19;41;IPTV;;;
10.1.26.25;ae31.708;ec:4c:4d:69:f2:db;548;IPTV;;;
10.1.26.27;ae31.708;e4:27:71:29:c2:38;202;IPTV;;;
10.1.26.29;ae31.708;e4:27:71:27:8d:f6;1197;IPTV;;;
10.1.26.32;ae31.708;1c:bb:a8:24:5c:84;1161;IPTV;;;
10.1.26.34;ae31.708;e4:27:71:29:fa:81;675;IPTV;;;
10.1.26.38;ae31.708;e4:27:71:4b:b1:e4;1255;IPTV;;;
10.1.26.39;ae31.708;e4:27:71:1f:19:d5;863;IPTV;;;
10.1.26.40;ae31.708;e4:27:71:25:1f:40;881;IPTV;;;
10.1.26.41;ae31.708;e4:27:71:25:82:6c;1107;IPTV;;;
10.1.26.44;ae31.708;e4:27:71:60:e4:3c;43;IPTV;;;
10.1.26.45;ae31.708;e4:27:71:4c:88:81;144;IPTV;;;
10.1.26.46;ae31.708;00:1a:79:0c:d2:44;1368;IPTV;;;
10.1.26.48;ae31.708;e4:27:71:20:0a:4f;902;IPTV;;;
10.1.26.49;ae31.708;e4:27:71:4e:e3:2a;992;IPTV;;;
10.1.26.53;ae31.708;1c:bb:a8:12:ce:ae;1253;IPTV;;;
10.1.26.54;ae31.708;00:1a:79:06:98:5f;943;IPTV;;;
10.1.26.56;ae31.708;1c:bb:a8:24:61:ad;1417;IPTV;;;
10.1.26.57;ae31.708;e4:27:71:27:48:7d;388;IPTV;;;
10.1.26.61;ae31.708;ec:4c:4d:f4:ff:5e;1230;IPTV;;;
10.1.26.64;ae31.708;e4:27:71:4c:89:4d;907;IPTV;;;
10.1.26.66;ae31.708;ec:4c:4d:72:40:29;270;IPTV;;;
10.1.26.67;ae31.708;e4:27:71:4b:7b:7a;701;IPTV;;;
10.1.26.69;ae31.708;e4:27:71:29:c2:2a;1068;IPTV;;;
10.1.26.71;ae31.708;1c:bb:a8:28:17:ea;557;IPTV;;;
10.1.26.72;ae31.708;e4:27:71:5f:61:85;276;IPTV;;;
10.1.26.73;ae31.708;e4:27:71:03:47:4e;1030;IPTV;;;
10.1.26.74;ae31.708;e4:27:71:60:e7:79;67;IPTV;;;
10.1.26.75;ae31.708;e4:27:71:1f:1f:be;581;IPTV;;;
10.1.26.76;ae31.708;1c:bb:a8:23:63:ba;493;IPTV;;;
10.1.26.80;ae31.708;00:21:52:63:4e:8d;459;IPTV;;;
10.1.26.87;ae31.708;e4:27:71:62:80:87;238;IPTV;;;
10.1.26.89;ae31.708;e4:27:71:67:f0:9f;1047;IPTV;;;
10.1.26.90;ae31.708;e4:27:71:02:4b:e4;764;IPTV;;;
10.1.26.91;ae31.708;e4:27:71:67:c0:5e;832;IPTV;;;
