ip;int;mac;exp;vrf
11.90.231.27;lag-3:29*;ac:cb:51:00:57:60;03h12m47s;USI_ROS_UIK
11.90.231.28;lag-3:29*;ac:cb:51:00:5a:d6;03h13m53s;USI_ROS_UIK
11.90.231.29;lag-3:29*;ac:cb:51:00:58:2a;00h05m14s;USI_ROS_UIK
11.90.231.30;lag-3:29*;ac:cb:51:00:54:8c;03h37m10s;USI_ROS_UIK
11.90.231.31;lag-3:29*;ac:cb:51:00:5a:e0;03h08m01s;USI_ROS_UIK
11.90.231.32;lag-3:29*;ac:cb:51:00:56:cd;02h27m03s;USI_ROS_UIK
11.90.231.33;lag-3:29*;ac:cb:51:00:56:91;03h25m28s;USI_ROS_UIK
11.90.231.34;lag-3:29*;ac:cb:51:00:57:79;00h02m35s;USI_ROS_UIK
11.90.231.35;lag-3:29*;ac:cb:51:00:5a:d3;00h11m40s;USI_ROS_UIK
11.90.231.36;lag-3:29*;ac:cb:51:00:56:74;01h38m36s;USI_ROS_UIK
11.90.231.37;lag-3:29*;ac:cb:51:00:53:63;02h29m25s;USI_ROS_UIK
11.90.231.38;lag-3:29*;ac:cb:51:00:50:3a;03h51m53s;USI_ROS_UIK
11.90.231.39;lag-3:29*;ac:cb:51:00:54:b8;03h36m06s;USI_ROS_UIK
11.90.231.40;lag-3:29*;ac:cb:51:00:52:78;02h54m21s;USI_ROS_UIK
11.90.231.41;lag-3:29*;ac:cb:51:00:53:98;02h44m35s;USI_ROS_UIK
